target_id,candidate_family,positive_family,label,title_alias_score,server_alias_score,nmap_alias_score,body_alias_score,evidence_alias_score,port_score,protocol_score,http_tool_score,scan_depth_score,heuristic_score
couchdb_CVE-2017-12635,tomcat,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12635,webmin,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12636,adminer,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12636,appweb,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12636,aria2,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
couchdb_CVE-2017-12636,couchdb,couchdb,positive_family_match,0.0,1.0,0.0,1.0,1.0,1.0,0.25,0.15,0.1,6.500000000000001
couchdb_CVE-2017-12636,druid,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12636,drupal,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12636,elasticsearch,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12636,flask,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12636,goahead,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12636,gogs,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12636,grafana,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12636,jenkins,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12636,jetty,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12636,joomla,couchdb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
couchdb_CVE-2017-12636,nextjs,couchdb,negative_family,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.25,0.15,0.1,1.5333333333333332
